date,MBundesverband,MDE-BB,MDE-BE,MDE-BW,MDE-BY,MDE-HB,MDE-HE,MDE-HH,MDE-ST,MDE-MV,MDE-NI,MDE-NW,MDE-RP,MDE-SH,MDE-SL,MDE-SN,MDE-TH,MAusland,SBundesverband,SDE-BB,SDE-BE,SDE-BW,SDE-BY,SDE-HB,SDE-HE,SDE-HH,SDE-ST,SDE-MV,SDE-NI,SDE-NW,SDE-RP,SDE-SH,SDE-SL,SDE-SN,SDE-TH,SAusland,VBundesverband,VDE-BB,VDE-BE,VDE-BW,VDE-BY,VDE-HB,VDE-HE,VDE-HH,VDE-ST,VDE-MV,VDE-NI,VDE-NW,VDE-RP,VDE-SH,VDE-SL,VDE-SN,VDE-TH,VAusland
2006-09-10,52,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-30,357,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,360,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-06,362,4,9,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02-16,380,4,14,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-03-12,399,5,17,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-03-28,407,5,19,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-04-10,409,5,20,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-04-12,414,5,21,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-04-22,425,5,22,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-07,434,6,24,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-17,439,6,25,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
