date,KBundesverband,KDE-BB,KDE-BE,KDE-BW,KDE-BY,KDE-HB,KDE-HE,KDE-HH,KDE-ST,KDE-MV,KDE-NI,KDE-NW,KDE-RP,KDE-SH,KDE-SL,KDE-SN,KDE-TH,KAusland
2013-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-03,12,0,0,0,0,2,0,4,0,0,0,6,0,0,0,0,0,0
2013-06-04,68,0,49,0,0,2,0,4,0,0,0,11,1,0,1,0,0,0
2013-06-05,91,0,49,0,0,2,0,4,2,0,0,12,2,14,1,3,2,0
2013-06-07,111,0,49,0,0,2,20,4,2,0,0,12,2,14,1,3,2,0
2013-06-10,117,4,49,0,0,2,20,4,2,2,0,12,2,14,1,3,2,0
2013-06-11,139,4,49,4,5,2,33,4,2,2,0,12,2,14,1,3,2,0
2013-06-13,165,4,49,4,5,2,33,4,2,2,26,12,2,14,1,3,2,0
2013-06-14,191,4,49,4,5,2,33,4,2,2,52,12,2,14,1,3,2,0
2013-06-15,202,4,49,4,5,2,33,4,2,2,63,12,2,14,1,3,2,0
2013-06-16,202,4,49,4,5,2,33,4,2,2,63,12,2,14,1,3,2,0
2013-06-17,202,4,49,4,5,2,33,4,2,2,63,12,2,14,1,3,2,0
2013-06-26,204,4,49,4,5,2,33,4,2,2,63,12,2,16,1,3,2,0
2013-06-28,204,4,49,4,5,2,33,4,2,2,63,12,2,16,1,3,2,0
2013-06-29,204,4,49,4,5,2,33,4,2,2,63,12,2,16,1,3,2,0
2013-07-01,204,4,49,4,5,2,33,4,2,2,63,12,2,16,1,3,2,0
2013-07-08,200,4,49,4,5,2,33,4,2,2,59,12,2,16,1,3,2,0
2013-07-15,200,4,49,4,5,2,33,4,2,2,59,12,2,16,1,3,2,0
2013-07-25,200,4,49,4,5,2,33,4,2,2,59,12,2,16,1,3,2,0
2013-07-30,200,4,49,4,5,2,33,4,2,2,59,12,2,16,1,3,2,0
2013-07-31,200,4,49,4,5,2,33,4,2,2,59,12,2,16,1,3,2,0
2013-08-03,200,4,49,4,5,2,33,4,2,2,59,12,2,16,1,3,2,0
2013-08-07,202,4,49,3,5,3,33,4,2,2,61,12,2,16,1,3,2,0
2013-08-08,202,4,49,3,5,3,33,4,2,2,61,12,2,16,1,3,2,0
2013-08-09,202,4,49,3,5,3,33,4,2,2,61,12,2,16,1,3,2,0
2013-08-13,203,4,49,3,5,3,34,4,2,2,61,12,2,16,1,3,2,0
2013-08-14,202,4,49,3,5,3,34,4,2,2,60,12,2,16,1,3,2,0
