date,TBundesverband,TDE-BB,TDE-BE,TDE-BW,TDE-BY,TDE-HB,TDE-HE,TDE-HH,TDE-ST,TDE-MV,TDE-NI,TDE-NW,TDE-RP,TDE-SH,TDE-SL,TDE-SN,TDE-TH,TAusland
2006-09-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-18,15,,15,,,,,,,,,0,,0,0,,,0
2012-03-25,19,,15,,,,,,,,,0,,0,4,,,0
2012-05-06,25,,15,,,,,,,,,0,,6,4,,,0
2012-05-13,45,,15,,,,,,,,,20,,6,4,,,0
2013-09-22,44,,15,,,,,,,,,19,,6,4,,,0
2014-05-25,45,,15,,,,,,,,,19,,6,4,,,1
2014-09-18,44,,14,,,,,,,,,19,,6,4,,,1
2014-09-21,43,,13,,,,,,,,,19,,6,4,,,1
2014-09-23,42,,12,,,,,,,,,19,,6,4,,,1
2015-01-01,41,,11,,,,,,,,,19,,6,4,,,1
2015-01-26,40,,11,,,,,,,,,19,,6,3,,,1
2015-09-10,39,,10,,,,,,,,,18,,6,3,,,1
2015-10-04,38,,9,,,,,,,,,18,,6,3,,,1
2015-10-23,37,,9,,,,,,,,,18,,6,3,,,1
2015-12-14,36,,8,,,,,,,,,18,,6,3,,,1
2016-09-18,28,,0,,,,,,,,,18,,6,3,,,1
2016-09-26,27,,0,,,,,,,,,17,,6,3,,,1
